"Source","WHO_REGION","Region","Country","ISO3","ISO2","ADMIN1_NAME","ADMIN1_CODE","ADMIN2_NAME","ADMIN2_CODE","IU_NAME","IU_ID","Location","SiteID","Longitude","Latitude","Georeliability","Location_type","Survey_type","Year","Age_start","Age_end","HK_examined","HK_positive","HK_prevalence","HK_Perc_HighInfection","HK_Perc_ModerateInfection","Asc_examined","Asc_positive","Asc_prevalence","Asc_Perc_HighInfection","Asc_Perc_ModerateInfection","TT_examined","TT_positive","TT_prevalence","TT_Perc_HighInfection","TT_Perc_ModerateInfection","STH_examined","STH_positive","STH_prevalence","Cum_Prevalence","Quality","Dups","SN","endnote_id","Composite_IU_ID"
"GAHI","AFRO","Eastern Africa","Ethiopia","ETH","ET","","1948","Finfine Zuriya",null,"Finfine Zuriya","16645","Aruma",null,"38.613999999999997","9.3350000000000009","4","","","1999","5","18","0.0","0.0","0.0",null,null,"135.0","116","0.859259259",null,null,"135.0","111.0","0.82222222199999995",null,null,"0","0","0.0","0.91979190899999996","3","2","30105","ETH0030","AETH0194816645"
"GAHI","AFRO","Eastern Africa","Ethiopia","ETH","ET","","1948","W. Harerge",null,"W. Harerge","3189","Asbe Teferi",null,"40.865000000000002","9.0839999999999996","4","","","1986","5","19","100.0","0.0","0.0",null,null,"100.0","24","0.23999999999999999",null,null,"100.0","7.0","7.0000000000000007E-2",null,null,"0","0","0.0","0.27660377400000002","3","0","29279","ETH0065","AETH0194803189"
"GAHI","AFRO","Eastern Africa","Ethiopia","ETH","ET","",null,"",null,"",null,"Asendabo Elementary and Junior Secondary School",null,null,null,"99","","","1997","5","16","282.0","72.0","0.25531914900000002",null,null,"282.0","159","0.56382978699999997",null,null,"282.0","61.0","0.216312057",null,null,"0","0","0.0","0.70325678899999999","3","0","31345","ETH0003","AETH   NA   NA"
"GAHI","AFRO","Eastern Africa","Ethiopia","ETH","ET","Amhara","1943","N. Gonder","3171","Gonder City Adm.","18602","Atkena",null,"38.165999999999997","11.933999999999999","3","","","1995","7","19","61.0","5.0","8.1967212999999997E-2",null,null,"61.0","12","0.19672131100000001",null,null,"61.0","5.0","8.1967212999999997E-2",null,null,"0","0","0.0","0.30472586299999999","3","2","31534","ETH0059","AETH0194318602"
"GAHI","AFRO","Eastern Africa","Ethiopia","ETH","ET","",null,"",null,"",null,"Atse Bekafa",null,null,null,"99","","","1995","8","18","119.0","5.0","4.2016807000000003E-2",null,null,"119.0","0","0.0",null,null,"119.0","7.0","5.8823528999999999E-2",null,null,"0","0","0.0","9.2800716000000005E-2","3","0","30128","ETH0058","AETH   NA   NA"
"GAHI","AFRO","Eastern Africa","Ethiopia","ETH","ET","Amhara","1943","N. Gonder","3171","Gonder City Adm.","18602","Awramba and Neighboring Communities",null,"37.583329999999997","11.949999999999999","3","","","2010",null,null,"392.0","44.0","0.112244898",null,null,"392.0","37","9.4387755000000004E-2",null,null,"392.0","11.0","2.8061223999999999E-2",null,null,"0","0","0.0","0.206224778","1","2","29538","ETH0162","AETH0194318602"
"GAHI","AFRO","Eastern Africa","Ethiopia","ETH","ET","Amhara","1943","N. Gonder","3171","Gonder City Adm.","18602","Aykel",null,"37.082000999999998","12.516999999999999","3","","",null,"8","12","54.0","12.0","0.222222222",null,null,"0.0","0","0.0",null,null,"0.0","0.0","0.0",null,null,"0","0","0.0","0.222222222","3","2","31504","ETH0052","AETH0194318602"
"GAHI","AFRO","Eastern Africa","Ethiopia","ETH","ET","Amhara","1943","N. Gonder","3171","Gonder City Adm.","18602","Aykel",null,"37.082000999999998","12.516999999999999","3","","",null,"5","16","120.0","45.0","0.375",null,null,"120.0","42","0.34999999999999998",null,null,"120.0","25.0","0.20833333300000001",null,null,"0","0","0.0","0.63998624199999998","3","2","30142","ETH0061","AETH0194318602"
"GAHI","AFRO","Eastern Africa","Ethiopia","ETH","ET","Amhara","1943","N. Gonder","3171","Chilga","18562","Aykel","52213","37.066670000000002","12.550000000000001","1","","","0",null,null,"120.0","45.0","0.375",null,null,"120.0","42","0.34999999999999998",null,null,"120.0","25.0","0.20833333300000001",null,null,null,null,"0.0","0.63998624199999998","3","2","4971","","AETH0194318562"
"GAHI","AFRO","Eastern Africa","Ethiopia","ETH","ET","Amhara","1943","N. Gonder","3171","Chilga","18562","Aykel","52213","37.066670000000002","12.550000000000001","1","","","0",null,null,"54.0","12.0","0.222222222",null,null,"0.0","0","0.0",null,null,"0.0","0.0","0.0",null,null,null,null,"0.0","0.222222222","3","2","4970","","AETH0194318562"
"GAHI","AFRO","Eastern Africa","Ethiopia","ETH","ET","","1951","South Tigray",null,"South Tigray","3179","Aynalem",null,"39.488899000000004","13.456099999999999","4","","","1997","0","5","0.0","0.0","0.0",null,null,"281.0","16","5.6939502000000003E-2",null,null,"0.0","0.0","0.0",null,null,"0","0","0.0","5.6939502000000003E-2","3","2","29188","ETH0004","AETH0195103179"
"GAHI","AFRO","Eastern Africa","Ethiopia","ETH","ET","Amhara","1943","N. Gonder","3171","Gonder City Adm.","18602","Azezo",null,"37.433300000000003","12.550000000000001","4","","","1995","8","18","117.0","1.0","8.5470089999999995E-3",null,null,"117.0","51","0.43589743600000003",null,null,"117.0","0.0","0.0",null,null,"0","0","0.0","0.41577247699999997","3","2","30132","ETH0058","AETH0194318602"
"GAHI","AFRO","Eastern Africa","Ethiopia","ETH","ET","Amhara","1943","N. Gonder","3171","Gonder City Adm.","18602","Azezo","52324","37.430782700000002","12.5586158","1","","","1995",null,null,"117.0","1.0","8.5470089999999995E-3",null,null,"117.0","51","0.43589743600000003",null,null,"117.0","0.0","0.0",null,null,null,null,"0.0","0.41577247699999997","3","2","5016","","AETH0194318602"
"GAHI","AFRO","Eastern Africa","Ethiopia","ETH","ET","","1948","W. Harerge",null,"W. Harerge","3189","Babile Elementary and Junior Secondary School",null,"40.997999999999998","9.2029999999999994","4","","","2001","5","24","415.0","28.0","6.7469879999999996E-2",null,null,"415.0","16","3.8554217000000002E-2",null,null,"415.0","15.0","3.6144577999999997E-2",null,null,"0","0","0.0","0.128140803","2","2","30152","ETH0073","AETH0194803189"
"GAHI","AFRO","Eastern Africa","Ethiopia","ETH","ET","Oromiya","1948","W. Harerge","3189","Doba","18839","Babile Elementary and Junior Secondary School","52284","42.329871699999998","9.2219852000000007","1","","","2001",null,null,"415.0","28.0","6.7469879999999996E-2",null,null,"415.0","16","3.8554217000000002E-2",null,null,"415.0","15.0","3.6144577999999997E-2",null,null,null,null,"0.0","0.128140803","2","2","5145","","AETH0194818839"
"GAHI","AFRO","Eastern Africa","Ethiopia","ETH","ET","Amhara","1943","Oromiya","3177","Dewa Cheffa","18585","Babile Town","52268","42.329871699999998","9.2219852000000007","1","","","2012",null,null,"644.0","2.0","3.1055900000000001E-3",null,null,"0.0","0","0.0",null,null,"644.0","1.0","0.001552795",null,null,null,null,"0.0","4.3901540000000003E-3","1","2","5005","","AETH0194318585"
"GAHI","AFRO","Eastern Africa","Ethiopia","ETH","ET","","1943","Oromiya",null,"Oromiya","3177","Babile Town",null,"39.827539999999999","10.738670000000001","4","","","2012","5","25","644.0","2.0","3.1055900000000001E-3",null,null,"0.0","0","0.0",null,null,"644.0","1.0","0.001552795",null,null,"644","3","4.6583850000000001E-3","4.3901540000000003E-3","1","2","29533","ETH0158","AETH0194303177"
"GAHI","AFRO","Eastern Africa","Ethiopia","ETH","ET","","1948","West Gojam",null,"West Gojam","3193","Bahir Dar",null,"37.365000000000002","11.557","4","","",null,"8","20","100.0","12.0","0.12",null,null,"0.0","0","0.0",null,null,"0.0","0.0","0.0",null,null,"0","0","0.0","0.12","3","2","31512","ETH0052","AETH0194803193"
"GAHI","AFRO","Eastern Africa","Ethiopia","ETH","ET","Amhara","1943","West Gojam","3193","Bahirdar Zuria","18547","Bahir Dar","52182","37.361353299999998","11.5742086","1","","","0",null,null,"100.0","12.0","0.12",null,null,"0.0","0","0.0",null,null,"0.0","0.0","0.0",null,null,null,null,"0.0","0.12","3","2","4963","","AETH0194318547"
