"ADMIN1_NAME","ADMIN1_CODE","ADMIN2_NAME","ADMIN2_CODE","IU_NAME","IU_ID","Location","Longitude","Latitude","Georeliability","Year","HK_examined","HK_positive","Asc_examined","Asc_positive","TT_examined","TT_positive","altitude","riv_dist","fric_w","fric_m","travel_w","travel_m","HK_e.logit","Asc_e.logit","TT_e.logit","utm_x","utm_y"
"Oromiya",1948,"Bale",3132,"Mena (Bale)",18823,"Melka Amana",39.7892,6.24612,3,2009,107,10,107,6,107,9,1052.50458672169,0.926927018661851,0.0121889943033786,0.00169855265236113,32.2190559071059,2.23676159283719,-2.22847712084032,-2.74825662158025,-2.33876474957155,-77194.9460959649,693272.923973335
"Amhara",1943,"West Gojam",3193,"Bahirdar Zuria",18547,"Meshenti",37.2838328,11.4745024,1,2011,63,32,63,15,63,3,1963.73035801913,5.74282933588854,0.0181122640725661,0.0107379637281376,27.3396355155621,9.17291068483102,0.0312525435041045,-1.14072377401824,-2.84988039654143,-343934.43157725,1279801.95323932
"Oromiya",1948,"Borena",3135,"Bule Hora",18796,"Metokomia Hara",38.186001,5.625,3,2009,72,14,72,13,72,2,1900.49135501663,11.4273852056822,0.0160177865212074,0.00679753015165181,78.3526735402065,9.4250540886379,-1.39487810481128,-1.4832866271072,-3.33932197794407,-256363.14054205,626175.744983356
"Oromiya",1948,"Borena",3135,"Bule Hora",18796,"Metokonya Hora",38.139999,5.5999999,3,2009,110,20,110,17,110,4,1878.0401381243,12.4456004970433,0.0199702139527886,0.0169841456077969,148.215708333744,20.4782591952623,-1.48492496456152,-1.67576055536517,-3.16406758837321,-261526.29798237,623452.841229837
"Oromiya",1948,"W. Harerge",3189,"Kuni",18981,"Midhagdu",40.784801,8.8761501,3,2009,91,27,91,1,91,0,1763.39496617865,0.45669107117252,0.0230995767221467,0.016687443464843,40.1563205367384,10.4748666434906,-0.852479219129201,-4.09988474259772,-5.20948615284142,36132.8065677318,983796.117950567
"Oromiya",1948,"E. Harerge",3143,"Deder",18818,"Mumicho",41.497601,9.1426601,3,2009,81,32,81,0,81,0,2147.93034866995,3.99672622336595,0.0167815305307848,0.0101219360921983,55.108759660084,10.1765947475179,-0.420732580238953,-5.09375020080676,-5.09375020080676,114960.086793454,1012496.01197437
"Oromiya",1948,"Borena",3135,"Bule Hora",18796,"Mure Turkuma",38.2631,5.71174,3,2009,106,0,106,28,106,1,1954.25925220286,4.50866986197479,0.0146231408873008,0.00607279397989054,98.0475913161515,8.59271696640747,-5.36129216570943,-1.01319453751376,-4.25324584480796,-247653.056219055,635729.727225927
"Oromiya",1948,"Borena",3135,"Bule Hora",18796,"Muri Turkuma",38.2631,5.7114701,3,2009,106,0,106,28,106,1,1954.25925220286,4.53346124739369,0.0144886195731175,0.0060697755405732,87.009128412206,7.910988893316,-5.36129216570943,-1.01319453751376,-4.25324584480796,-247653.409399851,635699.687532878
"Oromiya",1948,"West Wellega",3194,"Yubdo",19034,"Nono Gino",35.344501,8.9456701,3,2009,101,24,101,36,101,4,1674.92313166456,10.2303038267921,0.0120000001043081,0.00108161628052075,62.6925394895112,12.5380476823329,-1.15160481880862,-0.58473788205276,-3.07577498122753,-566277.235975108,1002916.3261178
"Oromiya",1948,"W. Harerge",3189,"Habro",18895,"Oda Ananl",40.4641,8.8180904,3,2009,96,28,96,0,96,0,1757.06177797917,7.82019526151645,0.0127090566757717,0.00170115806667808,61.8421476727454,4.64623388387801,-0.876929657993575,-5.26269018890489,-5.26269018890489,693.963119480119,977775.410164696
